,make,year,mileage,state,mpgCity,mpgHighway,engineCylinderCount,fuel,driveTrain,exteriorColor,interiorColor,numberOfKeys,doors,seating,AC,PowerWindows,CDPlayer,PowerLocks,TiltWheel,PowerSeats,imperfections,EngineDesc_Transformed,Transmission_Transformed,Bluetooth,Rear View Camera,price
4239,11,2020.0,55330.0,13,26.0,30.0,4.0,3,4,14,3,1.0,4.0,5.0,1,1,0,1,0,1,1.6094379124341003,1,0,0,1,10.225244911570808
4240,8,2019.0,58404.0,13,17.0,25.0,6.0,2,4,1,1,1.0,4.0,7.0,1,1,0,1,1,1,1.6094379124341003,5,0,1,1,10.149996006155071
4241,26,2020.0,26651.0,13,25.0,28.0,4.0,3,0,1,1,1.0,4.0,5.0,1,1,0,0,1,0,1.3862943611198906,1,1,1,1,10.149996006155071
4242,7,2017.0,59584.0,17,18.0,28.0,6.0,3,4,12,3,1.0,4.0,7.0,1,1,0,1,1,1,1.0986122886681098,5,0,1,1,10.203258756085228
4243,14,2016.0,81740.0,6,27.0,37.0,4.0,3,4,11,1,2.0,4.0,5.0,1,1,1,1,1,1,1.6094379124341003,1,0,1,1,9.679781342959442
4244,18,2020.0,30815.0,17,18.0,24.0,6.0,3,4,14,3,2.0,4.0,8.0,1,1,0,1,1,1,1.6094379124341003,5,0,1,1,10.451348811602948
4245,34,2020.0,56820.0,8,28.0,39.0,4.0,3,4,6,3,1.0,4.0,5.0,1,1,0,1,1,1,1.0986122886681098,1,0,1,1,10.165505603232393
4246,10,2018.0,40932.0,13,24.0,34.0,4.0,3,4,14,1,2.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,0,0,1,9.903037451255743
4247,6,2016.0,69171.0,0,30.0,42.0,4.0,3,4,14,1,2.0,4.0,5.0,1,1,0,1,1,0,1.3862943611198906,1,0,1,1,9.679781342959442
4248,34,2020.0,21628.0,5,32.0,40.0,4.0,3,4,12,1,1.0,4.0,5.0,1,1,0,1,1,0,1.0986122886681098,1,0,1,1,9.951849053414007
4249,29,2018.0,15278.0,8,21.0,28.0,4.0,3,6,1,1,2.0,2.0,2.0,1,1,1,1,1,1,1.3862943611198906,1,3,0,1,11.066497727453186
4250,3,2020.0,22113.0,13,15.0,21.0,8.0,3,3,1,1,2.0,4.0,7.0,1,1,0,1,1,1,1.3862943611198906,6,0,1,1,11.461537429252754
4251,21,2017.0,57856.0,8,19.0,25.0,4.0,3,4,6,1,1.0,4.0,5.0,1,1,0,1,1,1,0.6931471805599453,1,0,1,1,10.126271039034782
4252,27,2013.0,103245.0,6,25.0,30.0,4.0,3,3,14,1,1.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,1,0,1,9.679781342959442
4253,13,2014.0,62159.0,8,30.0,39.0,4.0,3,4,3,1,2.0,4.0,5.0,1,1,1,1,1,0,1.6094379124341003,1,1,0,1,9.740439071085758
4254,22,2014.0,59408.0,17,27.0,38.0,4.0,3,4,8,1,2.0,2.0,4.0,1,1,1,1,1,0,1.3862943611198906,1,0,0,0,9.903037451255743
4255,10,2015.0,74821.0,8,27.0,40.0,4.0,2,4,1,5,1.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,0,0,0,9.615205300012315
4256,10,2017.0,3132.0,8,21.0,32.0,4.0,3,4,14,1,2.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,0,0,1,10.025306875857222
4257,6,2018.0,40187.0,8,29.0,38.0,4.0,3,4,6,5,2.0,4.0,5.0,1,1,0,1,1,1,1.3862943611198906,1,0,1,1,9.851720461714246
4258,34,2018.0,36248.0,17,28.0,36.0,4.0,3,4,14,1,2.0,4.0,5.0,1,0,0,1,1,0,2.1972245773362196,1,1,1,1,9.980031840175913
4259,0,2012.0,69649.0,14,16.0,21.0,6.0,3,3,1,1,1.0,4.0,7.0,1,1,0,1,1,1,2.4849066497880004,5,0,0,1,10.126271039034782
4260,4,2020.0,29113.0,6,26.0,30.0,3.0,3,4,9,1,2.0,4.0,5.0,1,1,0,1,1,0,1.3862943611198906,0,1,1,1,10.188328091653252
4261,17,2016.0,96996.0,8,21.0,27.0,4.0,3,2,14,3,1.0,4.0,5.0,1,1,1,1,1,0,1.6094379124341003,1,0,0,0,9.740439071085758
4262,27,2015.0,68165.0,14,20.0,27.0,6.0,3,4,11,0,1.0,4.0,7.0,1,1,1,1,0,1,1.3862943611198906,5,1,0,1,9.951849053414007
4263,10,2014.0,46652.0,8,22.0,30.0,4.0,3,2,11,1,2.0,4.0,5.0,1,1,1,1,1,1,1.3862943611198906,1,0,1,1,9.851720461714246
4264,6,2016.0,47681.0,17,22.0,32.0,4.0,3,4,12,1,2.0,4.0,5.0,1,1,1,1,1,1,1.3862943611198906,1,0,0,1,9.951849053414007
4265,8,2015.0,96369.0,5,18.0,25.0,6.0,2,6,11,0,2.0,4.0,7.0,1,1,1,1,1,1,1.0986122886681098,5,0,1,1,10.11013580132114
4266,0,2015.0,93743.0,17,19.0,27.0,6.0,3,3,14,0,1.0,4.0,5.0,1,1,1,1,1,1,1.791759469228055,5,0,1,1,9.951849053414007
4267,26,2015.0,30284.0,0,25.0,32.0,4.0,3,0,14,1,1.0,4.0,5.0,1,1,1,1,1,0,1.0986122886681098,1,1,1,0,9.882825556088033
4268,6,2016.0,38880.0,8,27.0,37.0,4.0,3,4,14,1,2.0,4.0,5.0,1,1,0,1,1,1,0.6931471805599453,1,0,0,0,9.903037451255743
4269,20,2015.0,90836.0,5,18.0,25.0,6.0,3,4,1,0,2.0,4.0,5.0,1,1,1,1,1,1,1.6094379124341003,5,0,0,0,10.126271039034782
4270,10,2019.0,29628.0,8,22.0,28.0,4.0,3,2,14,3,2.0,4.0,5.0,1,1,0,1,1,1,1.0986122886681098,1,0,0,0,10.11013580132114
4271,27,2017.0,14541.0,8,31.0,39.0,4.0,3,4,12,1,1.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,1,1,1,9.79762691183662
4272,4,2018.0,51977.0,17,24.0,30.0,4.0,3,3,12,1,2.0,4.0,5.0,1,1,0,1,1,1,1.6094379124341003,1,0,1,1,9.998388557730848
4273,6,2021.0,26073.0,6,29.0,36.0,4.0,3,4,14,1,2.0,4.0,5.0,1,1,0,1,0,0,1.3862943611198906,1,1,1,1,10.260847261969445
4274,11,2018.0,53682.0,17,24.0,28.0,4.0,3,3,12,1,1.0,4.0,5.0,1,1,0,1,1,0,0.6931471805599453,1,0,1,1,10.126271039034782
4275,6,2015.0,22220.0,8,17.0,28.0,6.0,3,6,9,1,2.0,2.0,4.0,1,1,1,1,1,0,1.3862943611198906,5,3,0,0,10.126271039034782
4276,4,2016.0,62011.0,6,15.0,22.0,6.0,3,4,1,1,2.0,4.0,7.0,1,1,1,1,1,1,1.3862943611198906,5,0,1,1,10.239638308916676
4277,14,2016.0,80017.0,8,28.0,38.0,4.0,3,4,12,3,2.0,4.0,5.0,1,1,1,1,0,0,1.3862943611198906,1,0,0,0,9.654449103676551
4278,17,2019.0,23154.0,1,21.0,29.0,6.0,3,4,11,0,2.0,4.0,5.0,1,1,0,1,1,0,1.791759469228055,5,0,0,1,10.165505603232393
4279,10,2014.0,63464.0,5,22.0,31.0,4.0,3,0,12,1,1.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,0,1,1,9.740439071085758
4280,14,2017.0,49532.0,8,29.0,38.0,4.0,3,4,1,0,2.0,4.0,5.0,1,1,0,1,1,0,1.3862943611198906,1,0,0,0,9.79762691183662
4281,13,2018.0,67738.0,6,29.0,35.0,4.0,3,4,1,1,2.0,4.0,5.0,1,1,1,1,1,1,1.6094379124341003,1,1,1,1,10.165505603232393
4282,34,2013.0,31946.0,14,26.0,34.0,4.0,3,4,2,3,1.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,0,0,0,9.830432871630217
4283,34,2015.0,26682.0,5,29.0,38.0,4.0,3,4,11,3,2.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,1,1,1,9.851720461714246
4284,6,2021.0,23031.0,8,26.0,31.0,4.0,3,4,1,1,2.0,4.0,5.0,1,1,0,1,1,0,1.3862943611198906,1,0,1,1,10.042858113983936
4285,21,2015.0,41369.0,17,19.0,28.0,6.0,3,4,12,0,1.0,4.0,5.0,1,1,1,1,1,1,2.1972245773362196,5,0,1,1,9.998388557730848
4286,18,2019.0,21457.0,5,28.0,37.0,4.0,3,4,12,1,1.0,4.0,5.0,1,1,1,1,1,0,1.0986122886681098,1,0,0,1,9.851720461714246
4287,30,2020.0,14087.0,17,15.0,22.0,8.0,3,6,2,1,2.0,4.0,6.0,1,1,0,1,1,1,1.3862943611198906,6,0,1,1,10.858825905660948
4288,18,2016.0,83211.0,6,25.0,37.0,4.0,3,4,11,1,2.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,3,0,0,9.615205300012315
4289,10,2020.0,49119.0,13,20.0,29.0,4.0,3,3,12,1,2.0,4.0,5.0,1,1,1,1,1,1,1.0986122886681098,1,0,1,1,10.042858113983936
4290,34,2019.0,3624.0,17,18.0,22.0,6.0,3,2,14,1,2.0,4.0,5.0,1,1,1,1,1,0,1.6094379124341003,5,0,1,1,10.66874607044333
4291,18,2018.0,55804.0,6,24.0,34.0,4.0,3,4,11,1,2.0,4.0,5.0,1,1,0,1,1,0,1.0986122886681098,1,0,1,1,9.932609366108146
4292,6,2020.0,48687.0,0,26.0,31.0,4.0,3,4,1,3,1.0,4.0,5.0,1,1,0,1,1,0,1.0986122886681098,1,0,0,1,10.085434038999999
4293,8,2020.0,60264.0,20,17.0,25.0,6.0,2,4,12,1,1.0,4.0,7.0,1,1,1,1,1,1,1.3862943611198906,5,0,0,1,10.165505603232393
4294,10,2020.0,24436.0,8,23.0,34.0,4.0,3,4,1,1,2.0,4.0,5.0,1,1,0,1,1,1,1.3862943611198906,1,0,1,1,10.085434038999999
4295,2,2018.0,19140.0,1,23.0,27.0,4.0,3,3,6,3,2.0,4.0,5.0,1,1,1,1,1,1,1.3862943611198906,1,0,1,1,10.54510456855174
4296,27,2017.0,43361.0,1,15.0,21.0,8.0,3,2,14,1,2.0,4.0,6.0,1,1,1,1,0,0,1.3862943611198906,6,0,1,0,10.462846164547514
4297,17,2014.0,74529.0,8,21.0,27.0,4.0,3,2,11,1,1.0,4.0,5.0,1,1,0,1,1,0,1.0986122886681098,1,0,1,0,9.79762691183662
4298,17,2019.0,40795.0,1,18.0,25.0,6.0,3,2,6,1,2.0,4.0,5.0,1,1,0,1,1,1,0.6931471805599453,5,0,1,1,10.451348811602948
4299,10,2013.0,34812.0,13,23.0,33.0,4.0,3,0,12,0,2.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,0,0,0,9.851720461714246
4300,10,2019.0,19035.0,1,23.0,34.0,4.0,3,4,2,1,2.0,4.0,5.0,1,1,0,1,1,1,1.3862943611198906,1,0,0,1,10.085434038999999
4301,34,2019.0,44553.0,13,17.0,20.0,6.0,3,2,14,0,2.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,5,0,1,1,10.66874607044333
4302,21,2018.0,32010.0,13,21.0,28.0,4.0,3,4,14,0,2.0,4.0,5.0,1,1,1,1,1,1,1.6094379124341003,1,0,0,1,10.239638308916676
4303,4,2018.0,55516.0,13,27.0,33.0,4.0,3,4,14,1,2.0,4.0,5.0,1,1,0,1,1,1,1.9459101490553132,1,0,1,1,9.980031840175913
4304,3,2018.0,36230.0,1,24.0,35.0,4.0,3,6,1,1,1.0,4.0,5.0,1,1,1,1,1,0,1.6094379124341003,1,0,1,1,10.239638308916676
4305,20,2017.0,39452.0,17,22.0,28.0,4.0,3,4,6,1,2.0,4.0,5.0,1,1,1,1,1,1,1.791759469228055,1,0,1,1,10.360627548882315
4306,34,2019.0,16326.0,6,29.0,41.0,4.0,3,4,12,3,2.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,0,1,1,10.203258756085228
4307,13,2019.0,25705.0,13,30.0,38.0,4.0,3,4,2,1,1.0,2.0,5.0,1,1,1,1,1,0,1.6094379124341003,1,1,1,1,10.149996006155071
4308,25,2021.0,13727.0,6,25.0,36.0,4.0,3,4,14,3,2.0,4.0,5.0,1,1,0,0,1,1,1.3862943611198906,1,0,1,1,10.645210588588755
4309,17,2017.0,43917.0,5,21.0,27.0,4.0,3,4,11,0,2.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,0,1,1,9.882825556088033
4310,3,2016.0,64364.0,6,20.0,30.0,6.0,3,3,6,1,1.0,4.0,5.0,1,1,1,1,1,1,1.3862943611198906,3,0,1,1,10.341452118734878
4311,14,2015.0,64960.0,5,28.0,38.0,4.0,3,4,1,3,1.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,0,1,1,9.716615658643356
4312,3,2017.0,32769.0,6,18.0,25.0,6.0,3,6,6,1,2.0,4.0,7.0,1,1,0,1,1,1,1.3862943611198906,3,0,1,1,10.659398242331683
4313,18,2015.0,69170.0,1,23.0,31.0,4.0,3,4,1,1,1.0,4.0,5.0,1,1,0,1,1,0,1.3862943611198906,1,0,0,1,9.740439071085758
4314,2,2013.0,64705.0,1,20.0,30.0,4.0,3,5,6,1,2.0,4.0,5.0,1,1,1,1,1,1,1.3862943611198906,1,0,1,1,10.042858113983936
4315,10,2021.0,20201.0,1,28.0,34.0,3.0,3,4,6,3,2.0,4.0,5.0,1,1,0,1,1,0,1.3862943611198906,0,0,1,1,10.239638308916676
4316,18,2017.0,48416.0,1,29.0,38.0,4.0,3,4,14,3,2.0,4.0,5.0,1,1,1,1,1,0,1.6094379124341003,1,0,1,0,9.740439071085758
4317,25,2019.0,19174.0,1,23.0,34.0,4.0,3,6,1,1,2.0,4.0,5.0,1,1,0,1,1,1,1.3862943611198906,1,0,0,1,10.518429918794682
4318,14,2019.0,24305.0,21,28.0,37.0,4.0,3,4,14,0,2.0,4.0,5.0,1,1,0,1,1,0,1.6094379124341003,1,0,0,1,9.980031840175913
4319,34,2020.0,34828.0,1,26.0,35.0,4.0,3,4,12,1,2.0,4.0,5.0,1,1,0,1,1,1,1.3862943611198906,1,0,1,1,10.462846164547514
4320,34,2018.0,50453.0,6,22.0,28.0,4.0,3,3,6,1,2.0,4.0,5.0,1,1,1,1,1,0,1.6094379124341003,1,0,0,0,10.188328091653252
